Expected Realization date,Pre Approval Sent Date,Feb Monthly Forecast,May Monthly Forecast,Mar Monthly Forecast,SAP Approval Status,Approval Date,Post Approver (SAP Approver),Invoice Delta,Customer Name,Remarks,Prepared By,Aug Monthly Forecast,Project Status,Column1,Late Payments,Invoice Status,Apr Monthly Forecast,Financial Year,PO Balance Amount,QB Realization Date,Nudging List Status (LYB),PO Amount Consumed,2025 Invoice Details,Approved Date,Formula 1,Month,Post Approval TAT,Formula,Revenue Realised,Name,Managed Services / Staff Org,Formula 2,Effort Approver,Invoiced $Amount,Pay Terms,Realised in Days,Status,Aging,Contracted Revenue (SoW),Revenue Realised Date,Pre Approval Status,Invoice No.,Approval TAT,Pre-Paid TAT,Jul Monthly Forecast,Resource Approval Status,QB Realization Status,SAP Reflection,Effort Approval Status,Jun Monthly Forecast,Submission TAT,Invoice Submission Date,PO Number,Project Master,Reflection TAT,SAP Reflection Date,Taulia - Paid Date,Resource Approver,Jan Monthly Forecast
02 Aug 2025,,,,,,,,,AIS / Eli Lilly,,,,Ongoing,,11,,,2025,,13 Aug 2025,,,,,,05_May,,,,,,,,"$16,400.00",65,78,Invoice Raised,Above 60 Days,Offshore IT Professional Services 2025 | Offshore IT Professional Services 2025-CO1,,,AIS-IT-25-05,,,,,Realised,,,,,28 May 2025,,Eli Lilly - Offshore IT Professional Services,,,,,
05 Apr 2025,,,,,,,,,AIS / Eli Lilly,,,,Completed,,10,,,2025,,15 Apr 2025,,,,,,01_Jan,,,,,,,,$960.00,65,77,Invoice Raised,Above 60 Days,Oncology Congress Analytics Dashboard – Makeover Support,,,AIS-CAD-25-01,,,,,Realised,,,,,29 Jan 2025,,Eli Lilly - Oncology Congress Analytics Dashboard Makeover & Support,,,,,
03 Apr 2026,,,,,,,,,AIS / Eli Lilly,,,,,,0,,,2026,,25 Mar 2026,,,,,,01_Jan,,,,,,,,"$2,480.00",65,58,Invoice Raised,Between 46 to 60 Days,PowerBI Custom Visual Development- Support and Enhancement,,,AIS-PBI-26-01,,,,,Realised,,,,,27 Jan 2026,AIS-WO 112,Eli Lilly - PowerBI Custom Visual - Support & Enhancement,,,,,
08 May 2026,,,,,,,,,AIS / Eli Lilly,,,,,,0,Paid,,2026,,06 May 2026,,,,,,02_Feb,,,,,,,,"$2,480.00",65,65,Invoice Raised,Above 60 Days,PowerBI Custom Visual Development- Support and Enhancement,,,AIS-PBI-26-02,,,,,Realised,,,,,03 Mar 2026,AIS-WO 112,Eli Lilly - PowerBI Custom Visual - Support & Enhancement,,,,,
30 May 2026,,,,,,,,,AIS / Eli Lilly,Paid,,,,,5,,,2026,,04 Jun 2026,,,,,,03_Mar,,,,,,,,"$2,480.00",65,72,Invoice Raised,Above 60 Days,PowerBI Custom Visual Development- Support and Enhancement,,,AIS-PBI-26-03,,,,,Realised,,,,,25 Mar 2026,AIS-WO 112,Eli Lilly - PowerBI Custom Visual - Support & Enhancement,,,,,
02 Aug 2026,,,,,,,,,AIS / Eli Lilly,,,,,,,,,2026,,,,,,,,05_May,,,,,,,,"$2,480.00",65,,Invoice Raised,Pending,PowerBI Custom Visual Development- Support and Enhancement,,,AIS-PBI-26-05,,,,,Pending,,,,,28 May 2026,AIS-WO 112,Eli Lilly - PowerBI Custom Visual - Support & Enhancement,,,,,
02 Jul 2026,,,,,,,,,AIS / Eli Lilly,,,,,,,,,2026,,,,,,,,04_Apr,,,,,,,,"$2,480.00",65,,Invoice Raised,Pending,PowerBI Custom Visual Development- Support and Enhancement,,,AIS-PBI-26-04,,,,,Pending,,,,,27 Apr 2026,AIS-WO 112,Eli Lilly - PowerBI Custom Visual - Support & Enhancement,,,,,
01 Jun 2025,,,,,,,,,AIS / Eli Lilly,,,,Ongoing,,8,,,2025,,09 Jun 2025,,,,,,03_Mar,,,,,,,,"$13,312.00",65,75,Invoice Raised,Above 60 Days,PowerBI Custom Visual Development- Phase 2 and Phase 3,,,AIS-PBI-25-03,,,,,Realised,,,,,27 Mar 2025,,Eli Lilly - PowerBI Custom Visual Development- Phase 2 and Phase 3,,,,,
04 May 2025,,,,,,,,,AIS / Eli Lilly,,,,Ongoing,,0,,,2025,,01 May 2025,,,,,,02_Feb,,,,,,,,"$13,312.00",65,64,Invoice Raised,Above 60 Days,PowerBI Custom Visual Development- Phase 2 and Phase 3,,,AIS-PBI-25-02,,,,,Realised,,,,,27 Feb 2025,,Eli Lilly - PowerBI Custom Visual Development- Phase 2 and Phase 3,,,,,
04 Jul 2025,,,,,,,,,AIS / Eli Lilly,,,,Ongoing,,12,,,2025,,16 Jul 2025,,,,,,04_Apr,,,,,,,,"$10,650.00",65,79,Invoice Raised,Above 60 Days,PowerBI Custom Visual Development- Phase 2 and Phase 3,,,AIS-PBI-25-04,,,,,Realised,,,,,29 Apr 2025,,Eli Lilly - PowerBI Custom Visual Development- Phase 2 and Phase 3,,,,,
05 Apr 2025,,,,,,,,,AIS / Eli Lilly,,,,Ongoing,,10,,,2025,,15 Apr 2025,,,,,,01_Jan,,,,,,,,"$2,662.00",65,77,Invoice Raised,Above 60 Days,PowerBI Custom Visual Development- Phase 2 and Phase 3,,,AIS-PBI-25-01,,,,,Realised,,,,,29 Jan 2025,,Eli Lilly - PowerBI Custom Visual Development- Phase 2 and Phase 3,,,,,
27 Jan 2026,,,,,,,,,AIS / Eli Lilly,,,,Ongoing,,3,,,2025,,30 Jan 2026,,,,,,11_Nov,,,,,,,,"$11,680.00",65,70,Invoice Raised,Above 60 Days,PowerBI Custom Visual Development- Phase 4,,,AIS-PBI-25-11,,,,,Realised,,,,,22 Nov 2025,,Eli Lilly - PowerBI Custom Visual Development- Phase 4,,,,,
30 Nov 2025,,,,,,,,,AIS / Eli Lilly,,,,Ongoing,,5,,,2025,,05 Dec 2025,,,,,,09_Sep,,,,,,,,"$15,680.00",65,72,Invoice Raised,Above 60 Days,PowerBI Custom Visual Development- Phase 2 and Phase 3 | PowerBI Custom Visual Development- Phase 4,,,AIS-PBI-25-09,,,,,Realised,,,,,25 Sep 2025,,Eli Lilly - PowerBI Custom Visual Development- Phase 4,,,,,
01 Jan 2026,,,,,,,,,AIS / Eli Lilly,,,,Ongoing,,11,,,2025,,12 Jan 2026,,,,,,10_Oct,,,,,,,,"$11,680.00",65,78,Invoice Raised,Above 60 Days,PowerBI Custom Visual Development- Phase 4,,,AIS-PBI-25-10,,,,,Realised,,,,,27 Oct 2025,,Eli Lilly - PowerBI Custom Visual Development- Phase 4,,,,,
02 Aug 2025,,,,,,,,,AIS / Eli Lilly,,,,Ongoing,,4,,,2025,,06 Aug 2025,,,,,,05_May,,,,,,,,"$7,997.00",65,71,Invoice Raised,Above 60 Days,PowerBI Custom Visual Development- Phase 2 and Phase 3 | PowerBI Custom Visual Development- Phase 4,,,AIS-PBI-25-05,,,,,Realised,,,,,28 May 2025,,Eli Lilly - PowerBI Custom Visual Development- Phase 4,,,,,
04 Sep 2025,,,,,,,,,AIS / Eli Lilly,,,,Ongoing,,11,,,2025,,15 Sep 2025,,,,,,06_Jun,,,,,,,,"$7,997.00",65,78,Invoice Raised,Above 60 Days,PowerBI Custom Visual Development- Phase 2 and Phase 3 | PowerBI Custom Visual Development- Phase 4,,,AIS-PBI-25-06,,,,,Realised,,,,,30 Jun 2025,,Eli Lilly - PowerBI Custom Visual Development- Phase 4,,,,,
26 Feb 2026,,,,,,,,,AIS / Eli Lilly,,,,Ongoing,,0,,,2025,,26 Feb 2026,,,,,,12_Dec,,,,,,,,"$7,200.00",65,67,Invoice Raised,Above 60 Days,PowerBI Custom Visual Development- Phase 4,,,AIS-PBI-25-12,,,,,Realised,,,,,22 Dec 2025,,Eli Lilly - PowerBI Custom Visual Development- Phase 4,,,,,
03 Nov 2025,,,,,,,,,AIS / Eli Lilly,,,,Ongoing,,16,,,2025,,19 Nov 2025,,,,,,08_Aug,,,,,,,,"$7,997.00",65,83,Invoice Raised,Above 60 Days,PowerBI Custom Visual Development- Phase 2 and Phase 3 | PowerBI Custom Visual Development- Phase 4,,,AIS-PBI-25-08,,,,,Realised,,,,,29 Aug 2025,,Eli Lilly - PowerBI Custom Visual Development- Phase 4,,,,,
02 Oct 2025,,,,,,,,,AIS / Eli Lilly,,,,Ongoing,,20,,,2025,,22 Oct 2025,,,,,,07_Jul,,,,,,,,"$7,997.00",65,87,Invoice Raised,Above 60 Days,PowerBI Custom Visual Development- Phase 2 and Phase 3 | PowerBI Custom Visual Development- Phase 4,,,AIS-PBI-25-07,,,,,Realised,,,,,28 Jul 2025,,Eli Lilly - PowerBI Custom Visual Development- Phase 4,,,,,
22 Jun 2026,,,,,,,,,Eli Lilly,,,,,,,,,2026,,,,,,,,04_Apr,,,,,,,,"$6,080.00",45,,Invoice Raised,Pending,SAP Logistics Systems Analyst,,,SAP-26-003-APR,,,,,Pending,,,,,07 May 2026,4200628325,Eli Lilly - SAP Logistics Systems Analyst - AA,,,,,
18 May 2026,,,,,,,,,Eli Lilly,Paid,,,,,10,,,2026,,28 May 2026,,,,,,03_Mar,,,,,,,,"$7,040.00",45,57,Invoice Raised,Between 46 to 60 Days,SAP Logistics Systems Analyst,,,SAP-26-002-MAR,,,,,Realised,,,,,02 Apr 2026,4200628325,Eli Lilly - SAP Logistics Systems Analyst - AA,,,,,
24 Apr 2026,,,,,,,,,Eli Lilly,,,,,,10,Paid,,2026,,04 May 2026,,,,,,02_Feb,,,,,,,,"$5,120.00",45,57,Invoice Raised,Between 46 to 60 Days,SAP Logistics Systems Analyst,,,SAP-26-001-FEB,,,,,Realised,,,,,09 Mar 2026,4200628325,Eli Lilly - SAP Logistics Systems Analyst - AA,,,,,
19 Jul 2026,,,,,,,,,Eli Lilly,,,,,,,,,2026,,,,,,,,05_May,,,,,,,,"$41,296.00",45,,Invoice Raised,Pending,Staff Augmentation – Infrastructure Support Analyst,,,ISA-26-005-MAY,,,,,Pending,,,,,03 Jun 2026,4200633505,Eli Lilly - Staff Augmentation - Infra Support Analyst - AA,,,,,
12 Jun 2026,,,,,,,,,Eli Lilly,Paid - Need copy for Records from Jenny.,,,,,4,,,2026,,16 Jun 2026,,,,,,03_Mar,,,,,,,,"$22,784.00",45,51,Invoice Raised,Between 46 to 60 Days,Staff Augmentation – Infrastructure Support Analyst,,,ISA-26-003-MAR,,,,,Realized,,,,,27 Apr 2026,4200633505,Eli Lilly - Staff Augmentation - Infra Support Analyst - AA,,,,,
22 Jun 2026,,,,,,,,,Eli Lilly,,,,,,,,,2026,,,,,,,,04_Apr,,,,,,,,"$31,328.00",45,,Invoice Raised,Pending,Staff Augmentation – Infrastructure Support Analyst,,,ISA-26-004-APR,,,,,Pending,,,,,07 May 2026,4200633505,Eli Lilly - Staff Augmentation - Infra Support Analyst - AA,,,,,
30 Mar 2026,,,,,,,,,Eli Lilly,,,,Ongoing,,0,,,2025,,23 Mar 2026,,,,,,12_Dec,,,,,,,,"$17,636.00",60,55,Invoice Raised,Between 46 to 60 Days,Supply Chain Analytics Dashboard Development,,,SCA-25-04-A,,,,,Realised,,,,,28 Jan 2026,,Eli Lilly - Supply Chain Analytics Project - AA,,,,,
03 Jan 2026,,,,,,,,,Eli Lilly,,,,Ongoing,,5,,,2025,,08 Jan 2026,,,,,,10_Oct,,,,,,,,"$23,515.00",60,67,Invoice Raised,Above 60 Days,Supply Chain Analytics Dashboard Development,,,SCA-25-02,,,,,Realised,,,,,03 Nov 2025,,Eli Lilly - Supply Chain Analytics Project - AA,,,,,
03 Jan 2026,,,,,,,,,Eli Lilly,,,,Ongoing,,5,,,2025,,08 Jan 2026,,,,,,09_Sep,,,,,,,,"$11,758.00",60,67,Invoice Raised,Above 60 Days,Supply Chain Analytics Dashboard Development,,,SCA-25-01,,,,,Realised,,,,,03 Nov 2025,,Eli Lilly - Supply Chain Analytics Project - AA,,,,,
03 Feb 2026,,,,,,,,,Eli Lilly,,,,Ongoing,,0,,,2025,,29 Jan 2026,,,,,,11_Nov,,,,,,,,"$23,515.00",60,57,Invoice Raised,Between 46 to 60 Days,Supply Chain Analytics Dashboard Development,,,SCA-25-03,,,,,Realised,,,,,04 Dec 2025,,Eli Lilly - Supply Chain Analytics Project - AA,,,,,
02 Jul 2026,,,,,,,,,AIS / Eli Lilly,,,,,,,,,2026,,,,,,,,04_Apr,,,,,,,,$960.00,65,,Invoice Raised,Pending,Thought Leader Engagement – Support Services,,,AIS-TLE-26-04,,,,,Pending,,,,,27 Apr 2026,AIS-WO 107,Eli Lilly - Thought Leader Engagement - Support Services,,,,,
03 Apr 2026,,,,,,,,,AIS / Eli Lilly,,,,,,0,,,2026,,25 Mar 2026,,,,,,01_Jan,,,,,,,,$960.00,65,58,Invoice Raised,Between 46 to 60 Days,Thought Leader Engagement – Support Services,,,AIS-TLE-26-01,,,,,Realised,,,,,27 Jan 2026,AIS-WO 107,Eli Lilly - Thought Leader Engagement - Support Services,,,,,
30 May 2026,,,,,,,,,AIS / Eli Lilly,Paid,,,,,5,,,2026,,04 Jun 2026,,,,,,03_Mar,,,,,,,,$960.00,65,72,Invoice Raised,Above 60 Days,Thought Leader Engagement – Support Services,,,AIS-TLE-26-03,,,,,Realised,,,,,25 Mar 2026,AIS-WO 107,Eli Lilly - Thought Leader Engagement - Support Services,,,,,
08 May 2026,,,,,,,,,AIS / Eli Lilly,,,,,,0,Paid,,2026,,06 May 2026,,,,,,02_Feb,,,,,,,,$960.00,65,65,Invoice Raised,Above 60 Days,Thought Leader Engagement – Support Services,,,AIS-TLE-26-02,,,,,Realised,,,,,03 Mar 2026,AIS-WO 107,Eli Lilly - Thought Leader Engagement - Support Services,,,,,
02 Aug 2026,,,,,,,,,AIS / Eli Lilly,,,,,,,,,2026,,,,,,,,05_May,,,,,,,,$960.00,65,,Invoice Raised,Pending,Thought Leader Engagement – Support Services,,,AIS-TLE-26-05,,,,,Pending,,,,,28 May 2026,AIS-WO 107,Eli Lilly - Thought Leader Engagement - Support Services,,,,,
30 May 2026,,,,,,,,,AIS / Eli Lilly,Paid,,,,,5,,,2026,,04 Jun 2026,,,,,,03_Mar,,,,,,,,$960.00,65,72,Invoice Raised,Above 60 Days,CO-2 UK Speaker Utilizer Support and Enhancement Services,,,AIS-UKS-26-03,,,,,Realised,,,,,25 Mar 2026,AIS0033760,Eli Lilly - UK Speaker Utilization Support and Enhancement Services,,,,,
04 May 2025,,,,,,,,,AIS / Eli Lilly,,,,Ongoing,,0,,,2025,,01 May 2025,,,,,,02_Feb,,,,,,,,"$2,342.00",65,64,Invoice Raised,Above 60 Days,CO-1 UK Speaker Utilizer Support and Enhancement Services,,,AIS-UKS-25-02,,,,,Realised,,,,,27 Feb 2025,,Eli Lilly - UK Speaker Utilization Support and Enhancement Services,,,,,
02 Aug 2025,,,,,,,,,AIS / Eli Lilly,,,,Ongoing,,4,,,2025,,06 Aug 2025,,,,,,05_May,,,,,,,,$960.00,65,71,Invoice Raised,Above 60 Days,CO-1 UK Speaker Utilizer Support and Enhancement Services,,,AIS-UKS-25-05,,,,,Realised,,,,,28 May 2025,,Eli Lilly - UK Speaker Utilization Support and Enhancement Services,,,,,
08 May 2026,,,,,,,,,AIS / Eli Lilly,,,,,,0,Paid,,2026,,06 May 2026,,,,,,02_Feb,,,,,,,,$960.00,65,65,Invoice Raised,Above 60 Days,CO-2 UK Speaker Utilizer Support and Enhancement Services,,,AIS-UKS-26-02,,,,,Realised,,,,,03 Mar 2026,AIS0033760,Eli Lilly - UK Speaker Utilization Support and Enhancement Services,,,,,
30 Nov 2025,,,,,,,,,AIS / Eli Lilly,,,,Ongoing,,5,,,2025,,05 Dec 2025,,,,,,09_Sep,,,,,,,,$960.00,65,72,Invoice Raised,Above 60 Days,CO-1 UK Speaker Utilizer Support and Enhancement Services,,,AIS-UKS-25-09,,,,,Realised,,,,,25 Sep 2025,,Eli Lilly - UK Speaker Utilization Support and Enhancement Services,,,,,
03 Nov 2025,,,,,,,,,AIS / Eli Lilly,,,,Ongoing,,16,,,2025,,19 Nov 2025,,,,,,08_Aug,,,,,,,,$960.00,65,83,Invoice Raised,Above 60 Days,CO-1 UK Speaker Utilizer Support and Enhancement Services,,,AIS-UKS-25-08,,,,,Realised,,,,,29 Aug 2025,,Eli Lilly - UK Speaker Utilization Support and Enhancement Services,,,,,
05 Apr 2025,,,,,,,,,AIS / Eli Lilly,,,,Ongoing,,10,,,2025,,15 Apr 2025,,,,,,01_Jan,,,,,,,,$960.00,65,77,Invoice Raised,Above 60 Days,CO-1 UK Speaker Utilizer Support and Enhancement Services,,,AIS-UKS-25-01,,,,,Realised,,,,,29 Jan 2025,,Eli Lilly - UK Speaker Utilization Support and Enhancement Services,,,,,
01 Jun 2025,,,,,,,,,AIS / Eli Lilly,,,,Ongoing,,8,,,2025,,09 Jun 2025,,,,,,03_Mar,,,,,,,,$960.00,65,75,Invoice Raised,Above 60 Days,CO-1 UK Speaker Utilizer Support and Enhancement Services,,,AIS-UKS-25-03,,,,,Realised,,,,,27 Mar 2025,,Eli Lilly - UK Speaker Utilization Support and Enhancement Services,,,,,
27 Jan 2026,,,,,,,,,AIS / Eli Lilly,,,,Ongoing,,3,,,2025,,30 Jan 2026,,,,,,11_Nov,,,,,,,,$960.00,65,70,Invoice Raised,Above 60 Days,CO-1 UK Speaker Utilizer Support and Enhancement Services,,,AIS-UKS-25-11,,,,,Realised,,,,,22 Nov 2025,,Eli Lilly - UK Speaker Utilization Support and Enhancement Services,,,,,
04 Jul 2025,,,,,,,,,AIS / Eli Lilly,,,,Ongoing,,5,,,2025,,09 Jul 2025,,,,,,04_Apr,,,,,,,,$960.00,65,72,Invoice Raised,Above 60 Days,CO-1 UK Speaker Utilizer Support and Enhancement Services,,,AIS-UKS-25-04,,,,,Realised,,,,,29 Apr 2025,,Eli Lilly - UK Speaker Utilization Support and Enhancement Services,,,,,
03 Apr 2026,,,,,,,,,AIS / Eli Lilly,,,,,,0,,,2026,,25 Mar 2026,,,,,,01_Jan,,,,,,,,$960.00,65,58,Invoice Raised,Between 46 to 60 Days,CO-2 UK Speaker Utilizer Support and Enhancement Services,,,AIS-UKS-26-01,,,,,Realised,,,,,27 Jan 2026,AIS0033760,Eli Lilly - UK Speaker Utilization Support and Enhancement Services,,,,,
02 Oct 2025,,,,,,,,,AIS / Eli Lilly,,,,Ongoing,,6,,,2025,,08 Oct 2025,,,,,,07_Jul,,,,,,,,$960.00,65,73,Invoice Raised,Above 60 Days,CO-1 UK Speaker Utilizer Support and Enhancement Services,,,AIS-UKS-25-07,,,,,Realised,,,,,28 Jul 2025,,Eli Lilly - UK Speaker Utilization Support and Enhancement Services,,,,,
02 Jul 2026,,,,,,,,,AIS / Eli Lilly,,,,,,,,,2026,,,,,,,,04_Apr,,,,,,,,$960.00,65,,Invoice Raised,Pending,CO-2 UK Speaker Utilizer Support and Enhancement Services,,,AIS-UKS-26-04,,,,,Pending,,,,,27 Apr 2026,AIS0033760,Eli Lilly - UK Speaker Utilization Support and Enhancement Services,,,,,
26 Feb 2026,,,,,,,,,AIS / Eli Lilly,,,,Ongoing,,0,,,2025,,26 Feb 2026,,,,,,12_Dec,,,,,,,,$960.00,65,67,Invoice Raised,Above 60 Days,CO-1 UK Speaker Utilizer Support and Enhancement Services,,,AIS-UKS-25-12,,,,,Realised,,,,,22 Dec 2025,,Eli Lilly - UK Speaker Utilization Support and Enhancement Services,,,,,
04 Sep 2025,,,,,,,,,AIS / Eli Lilly,,,,Ongoing,,7,,,2025,,11 Sep 2025,,,,,,06_Jun,,,,,,,,$960.00,65,74,Invoice Raised,Above 60 Days,CO-1 UK Speaker Utilizer Support and Enhancement Services,,,AIS-UKS-25-06,,,,,Realised,,,,,30 Jun 2025,,Eli Lilly - UK Speaker Utilization Support and Enhancement Services,,,,,
01 Jan 2026,,,,,,,,,AIS / Eli Lilly,,,,Ongoing,,11,,,2025,,12 Jan 2026,,,,,,10_Oct,,,,,,,,$960.00,65,78,Invoice Raised,Above 60 Days,CO-1 UK Speaker Utilizer Support and Enhancement Services,,,AIS-UKS-25-10,,,,,Realised,,,,,27 Oct 2025,,Eli Lilly - UK Speaker Utilization Support and Enhancement Services,,,,,
02 Aug 2026,,,,,,,,,AIS / Eli Lilly,,,,,,,,,2026,,,,,,,,05_May,,,,,,,,$960.00,65,,Invoice Raised,Pending,CO-2 UK Speaker Utilizer Support and Enhancement Services,,,AIS-UKS-26-05,,,,,Pending,,,,,28 May 2026,AIS0033760,Eli Lilly - UK Speaker Utilization Support and Enhancement Services,,,,,
01 Jun 2025,,,,,,,,,AIS / Eli Lilly,,,,Completed,,8,,,2025,,09 Jun 2025,,,,,,03_Mar,,,,,,,,"$13,530.00",65,75,Invoice Raised,Above 60 Days,CMH Congress Attendance Tracker,,,AIS-CMHC-25-01,,,,,Realised,,,,,27 Mar 2025,,Eli Lily - CMH Congress Attendance Tracker,,,,,
02 Aug 2025,,,,,,,,,AIS / Eli Lilly,,,,Completed,,4,,,2025,,06 Aug 2025,,,,,,05_May,,,,,,,,"$6,765.00",65,71,Invoice Raised,Above 60 Days,CMH Congress Attendance Tracker,,,AIS-CMHC-25-03,,,,,Realised,,,,,28 May 2025,,Eli Lily - CMH Congress Attendance Tracker,,,,,
04 Jul 2025,,,,,,,,,AIS / Eli Lilly,,,,Completed,,7,,,2025,,11 Jul 2025,,,,,,04_Apr,,,,,,,,"$13,530.00",65,74,Invoice Raised,Above 60 Days,CMH Congress Attendance Tracker,,,AIS-CMHC-25-02,,,,,Realised,,,,,29 Apr 2025,,Eli Lily - CMH Congress Attendance Tracker,,,,,
05 Apr 2025,,,,,,,,,LYB,,,,Ongoing,,0,,,2025,,26 Mar 2025,,,,,,02_Feb,,,,,,,,"$19,620.00",10,2,Invoice Raised,Between 1 to 15 Days,APS POD II COE – 2025,,,LYB-IT-APS-II-25-02,,,,,Realised,,,,,25 Mar 2025,,LYB - APS POD II - COE,,,,,
07 Dec 2025,,,,,,,,,LYB,,,,Ongoing,,0,,,2025,,05 Dec 2025,,,,,,11_Nov,,,,,,,,"$10,795.50",10,10,Invoice Raised,Between 1 to 15 Days,APS POD II COE – 2025,,,LYB-IT-APS-II-25-11,,,,,Realised,,,,,26 Nov 2025,,LYB - APS POD II - COE,,,,,
14 Sep 2025,,,,,,,,,LYB,,,,Ongoing,,0,,,2025,,10 Sep 2025,,,,,,08_Aug,,,,,,,,"$14,189.00",10,8,Invoice Raised,Between 1 to 15 Days,APS POD II COE – 2025,,,LYB-IT-APS-II-25-08,,,,,Realised,,,,,03 Sep 2025,,LYB - APS POD II - COE,,,,,
04 Jan 2026,,,,,,,,,LYB,,,,Ongoing,,4,,,2025,,08 Jan 2026,,,,,,12_Dec,,,,,,,,"$11,097.00",10,16,Invoice Raised,Between 16 to 30 Days,APS POD II COE – 2025,,,LYB-IT-APS-II-25-12,,,,,Realised,,,,,24 Dec 2025,,LYB - APS POD II - COE,,,,,
20 Jun 2025,,,,,,,,,LYB,,,,Ongoing,,0,,,2025,,17 Jun 2025,,,,,,05_May,,,,,,,,"$16,754.00",10,9,Invoice Raised,Between 1 to 15 Days,APS POD II COE – 2025,,,LYB-IT-APS-II-25-05,,,,,Realised,,,,,09 Jun 2025,,LYB - APS POD II - COE,,,,,
02 Aug 2025,,,,,,,,,LYB,,,,Ongoing,,0,,,2025,,23 Jul 2025,,,,,,06_Jun,,,,,,,,"$17,883.00",10,2,Invoice Raised,Between 1 to 15 Days,APS POD II COE – 2025,,,LYB-IT-APS-II-25-06,,,,,Realised,,,,,22 Jul 2025,,LYB - APS POD II - COE,,,,,
24 May 2025,,,,,,,,,LYB,,,,Ongoing,,12,,,2025,,05 Jun 2025,,,,,,04_Apr,,,,,,,,"$19,319.00",10,24,Invoice Raised,Between 16 to 30 Days,APS POD II COE – 2025,,,LYB-IT-APS-II-25-04,,,,,Realised,,,,,13 May 2025,,LYB - APS POD II - COE,,,,,
18 Aug 2025,,,,,,,,,LYB,,,,Ongoing,,0,,,2025,,13 Aug 2025,,,,,,07_Jul,,,,,,,,"$19,620.00",10,7,Invoice Raised,Between 1 to 15 Days,APS POD II COE – 2025,,,LYB-IT-APS-II-25-07,,,,,Realised,,,,,07 Aug 2025,,LYB - APS POD II - COE,,,,,
19 Oct 2025,,,,,,,,,LYB,,,,Ongoing,,0,,,2025,,15 Oct 2025,,,,,,09_Sep,,,,,,,,"$12,533.00",10,8,Invoice Raised,Between 1 to 15 Days,APS POD II COE – 2025,,,LYB-IT-APS-II-25-09,,,,,Realised,,,,,08 Oct 2025,,LYB - APS POD II - COE,,,,,
26 Apr 2025,,,,,,,,,LYB,,,,Ongoing,,0,,,2025,,16 Apr 2025,,,,,,03_Mar,,,,,,,,"$18,716.00",10,2,Invoice Raised,Between 1 to 15 Days,APS POD II COE – 2025,,,LYB-IT-APS-II-25-03,,,,,Realised,,,,,15 Apr 2025,,LYB - APS POD II - COE,,,,,
11 Nov 2025,,,,,,,,,LYB,,,,Ongoing,,0,,,2025,,03 Nov 2025,,,,,,10_Oct,,,,,,,,"$13,590.00",10,4,Invoice Raised,Between 1 to 15 Days,APS POD II COE – 2025,,,LYB-IT-APS-II-25-10,,,,,Realised,,,,,31 Oct 2025,,LYB - APS POD II - COE,,,,,
11 Mar 2025,,,,,,,,,LYB,,,,Ongoing,,0,,,2025,,28 Feb 2025,,,,,,01_Jan,,,,,,,,"$19,620.00",10,1,Invoice Raised,Between 1 to 15 Days,APS POD II COE – 2025,,,LYB-IT-APS-II-25-01,,,,,Realised,,,,,28 Feb 2025,,LYB - APS POD II - COE,,,,,
04 Jan 2026,,,,,,,,,LYB,,,,Ongoing,,4,,,2025,,08 Jan 2026,,,,,,12_Dec,,,,,,,,"$13,968.00",10,16,Invoice Raised,Between 16 to 30 Days,APS POD I COE-2025,,,LYB-IT-APS-I-25-12,,,,,Realised,,,,,24 Dec 2025,,LYB - APS PoD,,,,,
02 Aug 2025,,,,,,,,,LYB,,,,Ongoing,,0,,,2025,,23 Jul 2025,,,,,,06_Jun,,,,,,,,"$16,556.00",10,2,Invoice Raised,Between 1 to 15 Days,APS POD I COE-2025,,,LYB-IT-APS-I-25-06,,,,,Realised,,,,,22 Jul 2025,,LYB - APS PoD,,,,,
19 Oct 2025,,,,,,,,,LYB,,,,Ongoing,,0,,,2025,,15 Oct 2025,,,,,,09_Sep,,,,,,,,"$15,651.00",10,8,Invoice Raised,Between 1 to 15 Days,APS POD I COE-2025,,,LYB-IT-APS-I-25-09,,,,,Realised,,,,,08 Oct 2025,,LYB - APS PoD,,,,,
26 Apr 2025,,,,,,,,,LYB,,,,Ongoing,,0,,,2025,,16 Apr 2025,,,,,,03_Mar,,,,,,,,"$17,159.00",10,2,Invoice Raised,Between 1 to 15 Days,APS POD I COE-2025,,,LYB-IT-APS-I-25-03,,,,,Realised,,,,,15 Apr 2025,,LYB - APS PoD,,,,,
20 Jun 2025,,,,,,,,,LYB,,,,Ongoing,,0,,,2025,,17 Jun 2025,,,,,,05_May,,,,,,,,"$16,587.00",10,9,Invoice Raised,Between 1 to 15 Days,APS POD I COE-2025,,,LYB-IT-APS-I-25-05,,,,,Realised,,,,,09 Jun 2025,,LYB - APS PoD,,,,,
18 Aug 2025,,,,,,,,,LYB,,,,Ongoing,,0,,,2025,,13 Aug 2025,,,,,,07_Jul,,,,,,,,"$15,206.00",10,7,Invoice Raised,Between 1 to 15 Days,APS POD I COE-2025,,,LYB-IT-APS-I-25-07,,,,,Realised,,,,,07 Aug 2025,,LYB - APS PoD,,,,,
